cid,class,year,metamer_rank,number_ramif,ramif_class
21233,U,98,5,0,B
21233,U,98,6,1,D
21247,I,99,0,1,D
21249,D,99,0,0,B
21233,U,98,7,1,D
21253,I,99,0,1,D
21256,D,99,0,0,B
21253,I,99,1,0,B
21233,U,98,8,1,D
21261,I,99,0,1,D
21263,D,99,0,0,B
21233,U,98,9,1,D
21267,I,99,0,1,D
21269,D,99,0,0,B
21233,U,98,10,1,D
21273,I,99,0,1,D
21275,D,99,0,0,B
21233,U,98,11,3,D
21279,I,99,0,1,D
21282,D,99,0,0,B
21279,I,99,1,1,D
21286,D,99,0,0,B
21279,I,99,2,1,W
21290,W,99,0,0,B
21290,W,99,1,0,B
21290,W,99,2,0,B
21290,W,99,3,0,B
21290,W,99,4,0,B
21290,W,99,5,0,B
21290,W,99,6,0,B
21290,W,99,7,0,B
21233,U,98,12,0,B
21233,U,98,13,0,B
21233,U,98,14,0,B
21233,U,98,15,0,B
21303,I,99,0,1,W
21305,W,99,0,0,B
21305,W,99,1,0,B
21305,W,99,2,0,B
21305,W,99,3,0,B
21305,W,99,4,0,B
21305,W,99,5,0,B
21305,W,99,6,0,B
21305,W,99,7,0,B
21305,W,99,8,0,B
21305,W,99,9,0,B
21305,W,99,10,0,B
21305,W,99,11,0,B
21305,W,99,12,0,B
21215,U,96,2,0,B
21215,U,96,3,0,B
21215,U,96,4,1,D
21323,I,97,0,1,D
21325,D,97,0,0,B
21327,I,98,0,1,W
21329,W,98,0,0,B
21329,W,98,1,0,B
21329,W,98,2,0,B
21329,W,98,3,0,B
21329,W,98,4,0,B
21329,W,98,5,0,B
21336,I,99,0,1,D
21339,D,99,0,0,B
21336,I,99,1,1,D
21342,D,99,0,0,B
21336,I,99,2,0,B
21215,U,96,5,0,B
21215,U,96,6,1,W
21348,W,97,0,0,B
21348,W,97,1,0,B
21348,W,97,2,0,B
21348,W,97,3,0,B
21348,W,97,4,0,B
21348,W,97,5,0,B
21348,W,97,6,0,B
21348,W,97,7,0,B
21348,W,97,8,0,B
21348,W,97,9,0,B
21348,W,97,10,0,B
21348,W,97,11,0,B
21348,W,97,12,0,B
21362,I,98,0,1,W
21364,W,98,0,0,B
21364,W,98,1,0,B
21364,W,98,2,0,B
21364,W,98,3,1,D
21370,I,99,0,1,D
21372,D,99,0,0,B
21364,W,98,4,0,B
21364,W,98,5,1,D
21377,I,99,0,1,D
21379,D,99,0,0,B
21364,W,98,6,0,B
21364,W,98,7,1,D
21384,D,98,0,0,B
21386,I,99,0,1,D
21389,D,99,0,0,B
21386,I,99,1,1,D
21393,D,99,0,0,B
21386,I,99,2,0,B
21396,I,99,0,1,D
21399,D,99,0,0,B
21396,I,99,1,1,D
21402,D,99,0,0,B
21396,I,99,2,0,B
21362,I,98,1,1,W
21362,I,98,2,0,B
21362,I,98,2,0,B
21215,U,96,7,0,B
21215,U,96,8,0,B
21215,U,96,9,0,B
21215,U,96,10,1,D
21413,I,97,0,1,D
21415,D,97,0,0,B
21417,I,98,0,1,D
21419,D,98,0,0,B
21421,I,99,0,1,D
21424,D,99,0,0,B
21421,I,99,1,1,D
21427,D,99,0,0,B
21215,U,96,11,1,D
21431,I,97,0,1,D
21433,D,97,0,0,B
21435,I,98,0,1,D
21437,D,98,0,0,B
21439,I,99,0,1,D
21441,D,99,0,0,B
21215,U,96,12,1,D
21445,I,97,0,1,D
21447,D,97,0,0,B
21449,I,98,0,1,W
21451,W,98,0,0,B
21451,W,98,1,0,B
21451,W,98,2,0,B
21451,W,98,3,0,B
21451,W,98,4,0,B
21451,W,98,5,0,B
21451,W,98,6,0,B
21451,W,98,7,0,B
21460,I,99,0,1,D
21463,D,99,0,0,B
21460,I,99,1,1,D
21466,D,99,0,0,B
21460,I,99,2,0,B
21215,U,96,13,2,D
21471,I,97,0,1,D
21474,D,97,0,0,B
21476,I,98,0,1,D
21478,D,98,0,0,B
21480,I,99,0,1,D
21482,D,99,0,0,B
21471,I,97,1,1,D
21485,D,97,0,0,B
21487,I,98,0,1,D
21489,D,98,0,0,B
21491,I,99,0,1,D
21493,D,99,0,0,B
21491,I,99,1,0,B
21215,U,96,14,1,D
21498,I,97,0,1,D
21500,D,97,0,0,B
21502,I,98,0,1,D
21504,D,98,0,0,B
21506,I,99,0,1,D
21508,D,99,0,0,B
21506,I,99,1,0,B
21502,I,98,1,1,D
