class,year,number
I,96,151
I,97,598
I,98,1006
I,99,1208
I,94,0
I,95,12
U,96,40
U,97,37
U,98,8
U,99,1
U,94,1
U,95,10
D,96,108
D,97,551
D,98,891
D,99,1502
D,94,0
D,95,10
W,96,46
W,97,117
W,98,200
W,99,83
W,94,0
W,95,0
