cid,class,year,metamer_rank,number_ramif,ramif_class
3,U,94,0,0,B
3,U,94,1,0,B
3,U,94,2,0,B
3,U,94,3,0,B
3,U,94,4,0,B
3,U,94,5,0,B
3,U,94,6,0,B
3,U,94,7,0,B
3,U,94,8,0,B
3,U,94,9,0,B
3,U,94,10,0,B
3,U,94,11,0,B
3,U,94,12,0,B
3,U,94,13,0,B
3,U,94,14,0,B
3,U,94,15,0,B
3,U,94,16,0,B
3,U,94,17,0,B
3,U,94,18,0,B
3,U,94,19,0,B
3,U,94,20,0,B
3,U,94,21,0,B
3,U,94,22,0,B
3,U,94,23,0,B
3,U,94,24,0,B
3,U,94,25,0,B
3,U,94,26,0,B
3,U,94,27,0,B
3,U,94,28,0,B
3,U,94,29,0,B
3,U,94,30,0,B
3,U,94,31,0,B
3,U,94,32,0,B
3,U,94,33,0,B
3,U,94,34,0,B
3,U,94,35,0,B
3,U,94,36,0,B
3,U,94,37,0,B
3,U,94,38,0,B
3,U,94,39,1,I
45,I,95,0,1,U
47,U,95,0,0,B
47,U,95,1,0,B
47,U,95,2,0,B
47,U,95,3,0,B
47,U,95,4,0,B
47,U,95,5,0,B
47,U,95,6,0,B
47,U,95,7,0,B
47,U,95,8,0,B
47,U,95,9,1,D
59,D,96,0,0,B
61,W,97,0,0,B
61,W,97,1,0,B
61,W,97,2,0,B
61,W,97,3,0,B
61,W,97,4,0,B
61,W,97,5,0,B
61,W,97,6,0,B
61,W,97,7,1,D
71,D,98,0,0,B
61,W,97,8,1,D
75,D,98,0,0,B
61,W,97,9,0,B
61,W,97,10,1,D
80,D,98,0,0,B
61,W,97,11,0,B
61,W,97,12,0,B
61,W,97,13,1,D
86,D,98,0,0,B
61,W,97,14,0,B
61,W,97,15,1,D
91,D,98,0,0,B
61,W,97,16,1,D
95,D,98,0,0,B
61,W,97,17,0,B
61,W,97,18,0,B
99,I,98,0,1,W
102,W,98,0,0,B
102,W,98,1,0,B
102,W,98,2,0,B
102,W,98,3,0,B
102,W,98,4,0,B
102,W,98,5,0,B
102,W,98,6,0,B
102,W,98,7,0,B
102,W,98,8,0,B
102,W,98,9,0,B
102,W,98,10,0,B
99,I,98,1,1,I
99,I,98,2,0,B
99,I,98,2,0,B
47,U,95,10,1,D
119,D,96,0,0,B
121,D,97,0,0,B
123,D,98,0,0,B
125,I,99,0,1,D
127,D,99,0,0,B
47,U,95,11,0,B
47,U,95,12,0,B
47,U,95,13,0,B
47,U,95,14,0,B
47,U,95,15,0,B
47,U,95,16,1,I
136,I,0,0,0,B
47,U,95,17,1,I
140,I,97,0,1,D
142,D,97,0,0,B
144,I,98,0,1,D
147,D,98,0,0,B
149,D,99,0,0,B
144,I,98,1,1,I
144,I,98,2,0,B
144,I,98,2,0,B
47,U,95,18,1,I
156,I,0,0,0,B
47,U,95,19,1,I
160,I,96,0,1,W
162,W,96,0,0,B
162,W,96,1,0,B
162,W,96,2,0,B
162,W,96,3,0,B
162,W,96,4,1,I
169,I,97,0,1,W
171,W,97,0,0,B
171,W,97,1,0,B
171,W,97,2,0,B
171,W,97,3,0,B
171,W,97,4,0,B
171,W,97,5,0,B
171,W,97,6,0,B
179,U,97,0,0,B
179,U,97,1,0,B
179,U,97,2,0,B
179,U,97,3,0,B
179,U,97,4,0,B
179,U,97,5,0,B
179,U,97,6,0,B
179,U,97,7,1,I
189,I,99,0,1,D
191,D,99,0,0,B
179,U,97,8,0,B
179,U,97,9,1,I
196,I,99,0,1,D
198,D,99,0,0,B
179,U,97,10,1,I
202,I,99,0,1,D
204,D,99,0,0,B
179,U,97,11,0,B
179,U,97,12,1,I
209,I,99,0,0,B
179,U,97,13,0,B
179,U,97,14,0,B
179,U,97,15,1,I
215,I,99,0,1,D
217,D,99,0,0,B
179,U,97,16,0,B
179,U,97,17,1,I
222,I,99,0,0,B
179,U,97,18,0,B
179,U,97,19,0,B
179,U,97,20,0,B
179,U,97,21,0,B
179,U,97,22,0,B
229,I,98,0,1,D
231,D,98,0,0,B
233,D,98,0,0,B
235,I,99,0,1,I
235,I,99,1,0,B
235,I,99,1,1,W
239,W,99,0,0,B
239,W,99,1,0,B
239,W,99,2,0,B
239,W,99,3,0,B
239,W,99,4,0,B
239,W,99,5,0,B
162,W,96,5,1,I
248,I,97,0,1,D
250,D,97,0,0,B
252,D,98,0,0,B
254,I,99,0,1,D
257,D,99,0,0,B
254,I,99,1,0,B
162,W,96,6,0,B
261,I,97,0,1,W
264,W,97,0,0,B
264,W,97,1,0,B
264,W,97,2,0,B
264,W,97,3,1,D
270,D,98,0,0,B
264,W,97,4,1,D
274,D,98,0,0,B
264,W,97,5,1,W
278,W,97,0,0,B
278,W,97,1,0,B
278,W,97,2,0,B
278,W,97,3,0,B
278,W,97,4,0,B
278,W,97,5,0,B
278,W,97,6,0,B
278,W,97,7,0,B
278,W,97,8,0,B
278,W,97,9,0,B
278,W,97,10,0,B
278,W,97,11,0,B
291,U,98,0,0,B
291,U,98,1,0,B
291,U,98,2,0,B
291,U,98,3,0,B
291,U,98,4,0,B
291,U,98,5,0,B
291,U,98,6,0,B
291,U,98,7,1,D
301,D,99,0,0,B
291,U,98,8,0,B
291,U,98,9,0,B
291,U,98,10,0,B
291,U,98,11,1,I
308,I,99,0,1,D
310,D,99,0,0,B
291,U,98,12,1,I
314,I,99,0,1,D
316,D,99,0,0,B
291,U,98,13,1,D
