class,year,I,U,D,W
I,96,0,13,12,8
I,97,0,33,91,46
I,98,1,1,54,88
I,99,0,10,565,277
I,0,0,0,1,0
I,94,0,0,0,0
I,95,0,1,0,0
U,96,18,2,0,6
U,97,19,16,0,9
U,98,35,3,0,1
U,99,0,0,0,0
U,0,0,0,0,0
U,94,0,1,0,0
U,95,3,1,0,2
D,96,16,1,11,3
D,97,40,7,142,26
D,98,450,1,58,6
D,99,0,0,0,0
D,0,1,0,0,0
D,94,0,0,0,0
D,95,0,0,0,0
W,96,26,1,2,8
W,97,39,13,5,13
W,98,152,3,2,2
W,99,0,0,0,0
W,0,0,0,0,0
W,94,0,0,0,0
W,95,1,0,0,0
