name;col;row;treatment;volume;diameter;height;estimated_leaf_area;STAR;max_excentricity
X9153;5;22;WW;3.256056644;1.218326861;2.453766189;2.371141137;1.048162779;0.47286111
X9153;6;22;WD;3.11299842;1.711704086;2.332802302;3.03013288;0.792102307;0.676865106
X9153;7;13;WW;2.885918459;0.872806942;2.286433501;2.314549776;0.920053354;0.427072236
X9153;8;13;WD;1.244799674;0.72482957;2.177395059;1.552878555;0.882107467;0.67973254
X9166;5;23;WW;6.775666267;2.516182816;2.506827896;4.556728755;0.849853568;0.514321653
X9166;9;50;WW;2.915574217;1.511263974;2.064096629;3.628647247;0.676570466;0.489743876
X9166;10;50;WD;3.554599758;1.620721409;1.844838187;2.926879821;0.858065662;0.534192135
X9171;5;24;WW;3.963991005;1.838656396;2.710981725;5.694761522;0.516927986;0.463179957
X9171;5;89;WW;5.075466693;1.421147126;2.901293991;3.711515276;1.201815913;0.544375976
X9171;6;24;WD;4.991111248;1.957520039;2.719828513;5.731447465;0.626592416;0.517369754
X9171;6;89;WD;5.106002254;1.521871456;3.132186523;4.716922385;0.931660566;0.530781228
X9176;5;25;WW;2.622858854;0.762132452;2.403708647;4.548174884;0.649977692;0.343072496
X9176;6;25;WD;4.146501242;1.193357911;2.382068367;7.559525436;0.536348608;0.234479579
X9176;7;45;WW;3.304160276;0.867752814;2.412664027;3.918967051;0.784852301;0.534373235
X9176;8;45;WD;2.858418712;0.971945368;2.147212459;5.08299495;0.538062337;0.441374543
X9177;5;26;WW;5.353189212;2.249135997;2.395292842;3.410588328;0.950355349;0.756034337
X9177;6;26;WD;4.547798228;1.579662011;2.02027805;3.497432883;0.892453904;0.368193879
X9177;9;81;WW;2.939286394;1.55186712;1.97459187;2.164222856;0.942615333;0.894526847
X9177;10;81;WD;2.05750387;1.329912718;1.378403853;2.538530665;0.740019056;0.775333488
X9179;5;27;WW;4.222719062;1.954472879;1.476230211;2.402553929;1.100306644;0.580008793
X9179;6;27;WD;2.606295318;1.416800989;1.348034444;2.661588639;0.679541694;0.900142469
X9179;9;89;WW;1.951686835;0.770295686;1.768792677;2.318343224;0.684230798;0.678492687
X9179;10;89;WD;1.832568604;1.136693333;1.247766759;1.786727366;0.766024486;0.500461304
X9185;5;28;WW;2.616951093;0.54662898;3.098438572;5.136397046;0.628377245;0.222792028
X9185;6;28;WD;2.552024928;0.717956086;2.737649817;5.408027044;0.566258447;0.177162329
X9185;9;48;WW;2.803262475;0.699596254;2.91250612;5.961865987;0.580209989;0.255256162
X9185;10;48;WD;2.758275975;1.1052887;2.469945039;4.528666186;0.609640526;0.298998179
X9186;5;29;WW;5.55593895;1.585357309;2.503945687;6.067258367;0.662777723;0.73000184
X9186;6;29;WD;3.381122601;0.962762237;2.419058473;7.22216995;0.48203465;0.557659797
X9186;7;87;WW;3.852003922;1.258278373;2.611160296;6.082307165;0.5636026;0.750443434
X9186;8;87;WD;3.821628005;1.061858258;2.300051508;6.336183634;0.580596946;0.32532783
X9190;5;30;WW;4.088637471;1.280527263;2.406077378;3.834585943;0.837214281;0.690591698
X9190;6;30;WD;3.212498033;1.113293827;2.57438972;3.861811848;0.735405456;0.425110625
X9190;7;70;WW;3.843768557;1.242112752;2.302475602;4.035929;0.76749803;1.010738847
X9190;8;70;WD;7.701142343;2.280525753;2.557819016;8.057072967;0.680686272;0.471981285
X9191;5;31;WW;4.362325984;1.526823653;2.280828279;4.537307993;0.787697255;0.561226866
