,Area,Area_leaf,Ei,Ei_leaf,delta_angle_top,incli_top,isolated,phyllotactic_angle,phyllotactic_deviation,plant_height,plant_orientation,rmax,skew,wl
0,0.8323665959,0.6964316087,0.638053040885,0.701471565838,68.4754218837,35.5554614097,1.0,69.6391861742,11.2338633898,288.375160772,21.1778178308,0.734200199975,0.0712244322174,0.451008764071
1,0.7859473907,0.6965016563,0.52795174203,0.559496429131,148.483321615,2.15106058308,1.0,29.21321135,22.0989512479,186.096208329,76.4412746614,0.67275320991,0.669994698535,0.312601467524
2,0.7821481881,0.6965913051,0.571904634311,0.606688046015,143.84661209,21.0177020275,1.0,57.2305771621,65.6523346464,177.540043697,88.5258267361,0.195818259966,0.629463842258,0.371781477723
3,0.7840238791,0.6965844866,0.566386551674,0.602286789574,129.064903222,46.8855475159,1.0,82.736493203,23.4914361581,181.681689369,31.677469755,0.468347848511,0.199028804405,0.405563491503
4,0.7248300495,0.6965962652,0.349648429468,0.355484425639,116.336773975,38.1399242769,1.0,34.5363456207,18.5533017566,51.1631118028,81.3527465995,0.740442251521,0.412156205789,0.366507967491
5,0.8297738204,0.6965238898,0.76207648956,0.841498621711,96.251137409,37.7019861119,1.0,110.792716579,36.3709053468,282.469747523,26.1282411155,0.319536905562,0.27629070539,0.0339334799035
6,0.8373589097,0.6963535884,0.699123408444,0.771511203282,109.107911471,42.1780344781,1.0,5.56252170502,59.7926912007,299.529859932,69.5634955218,0.747965801019,0.625608296441,0.0763043989005
7,0.7777093138,0.696311123,0.572895235249,0.608099968045,213.025161102,32.43786945,1.0,155.491020012,20.4035558497,168.388678003,0.0419061160526,0.573948897476,0.834383239992,0.459591940762
8,0.8178151676,0.6962923385,0.655239894045,0.714063620365,66.2644927193,68.4290942414,1.0,65.9655254105,25.7222188502,256.672191899,50.5209031891,0.176895810066,0.758231338741,0.180387943385
9,0.7675491758,0.6963801148,0.609282907459,0.644073976432,93.9656805177,55.7085744889,1.0,90.1677097337,43.1053792004,145.876716205,55.5935585188,0.355997990847,0.847272302798,0.326977939746
