,Area,Area_leaf,Ei,Ei_leaf,delta_angle_top,incli_top,isolated,phyllotactic_angle,phyllotactic_deviation,plant_height,plant_orientation,rmax,skew,wl
0,0.8323666142,0.6964310437,0.127839642916,0.145790511592,68.4754218837,35.5554614097,0.0,69.6391861742,11.2338633898,288.375160772,21.1778178308,0.734200199975,0.0712244322174,0.451008764071
1,0.7859465091,0.6965011767,0.129010626908,0.14261498994,148.483321615,2.15106058308,0.0,29.21321135,22.0989512479,186.096208329,76.4412746614,0.67275320991,0.669994698535,0.312601467524
2,0.7821476891,0.696591051,0.136736606731,0.147810211732,143.84661209,21.0177020275,0.0,57.2305771621,65.6523346464,177.540043697,88.5258267361,0.195818259966,0.629463842258,0.371781477723
3,0.7840233439,0.6965843053,0.13328178815,0.144272725011,129.064903222,46.8855475159,0.0,82.736493203,23.4914361581,181.681689369,31.677469755,0.468347848511,0.199028804405,0.405563491503
4,0.7248296913,0.6965959223,0.115416793957,0.120076407432,116.336773975,38.1399242769,0.0,34.5363456207,18.5533017566,51.1631118028,81.3527465995,0.740442251521,0.412156205789,0.366507967491
5,0.8297763235,0.6965242095,0.133248076516,0.144513785207,96.251137409,37.7019861119,0.0,110.792716579,36.3709053468,282.469747523,26.1282411155,0.319536905562,0.27629070539,0.0339334799035
6,0.8373594217,0.6963534671,0.132388950843,0.150642702683,109.107911471,42.1780344781,0.0,5.56252170502,59.7926912007,299.529859932,69.5634955218,0.747965801019,0.625608296441,0.0763043989005
7,0.7777086896,0.6963105798,0.136763484855,0.149681996352,213.025161102,32.43786945,0.0,155.491020012,20.4035558497,168.388678003,0.0419061160526,0.573948897476,0.834383239992,0.459591940762
8,0.8178166736,0.6962926084,0.134787750839,0.149257967531,66.2644927193,68.4290942414,0.0,65.9655254105,25.7222188502,256.672191899,50.5209031891,0.176895810066,0.758231338741,0.180387943385
9,0.7675496274,0.6963804714,0.142499255468,0.154307740493,93.9656805177,55.7085744889,0.0,90.1677097337,43.1053792004,145.876716205,55.5935585188,0.355997990847,0.847272302798,0.326977939746
10,0.7438930838,0.6965378852,0.142340358873,0.150137219737,94.6594267991,35.6532262115,0.0,115.590445268,79.900570752,93.433328806,60.0739675833,0.476934332193,0.511676972864,0.35235455951
11,0.7806888335,0.6963143682,0.137955170972,0.150213374622,225.058496289,50.3629403901,0.0,132.120279985,58.4220619058,174.938065052,31.4178155696,0.51026927713,0.196624976314,0.347882816176
12,0.8053612081,0.6965429819,0.137854531132,0.157197834299,95.801321896,26.2361119552,0.0,62.4134703194,80.8274501806,228.720767906,21.8901684498,0.838907598745,0.0841322967479,0.0784027788834
13,0.7505047925,0.6964610405,0.134953065055,0.14420873828,246.074188989,60.7089657144,0.0,80.2762377498,56.0182238228,108.171107593,38.8932139875,0.587639935301,0.970840265423,0.428267082485
14,0.8084905668,0.6962635088,0.136694287763,0.154031422196,206.450087025,24.9653608551,0.0,59.7578552105,44.4895652543,236.219727717,69.3821584939,0.725577158189,0.547988399773,0.124133928542
15,0.8099385254,0.696440071,0.135490256365,0.150351053819,232.781489446,61.0972709757,0.0,86.4621534732,9.31298923337,239.017381226,1.19477357363,0.650370788297,0.827900641153,0.0178034414181
16,0.7396496115,0.6964841868,0.121746081891,0.12592955265,35.8675002928,46.6859340139,0.0,5.53910527471,6.69017793851,84.1953521353,66.6679609464,0.814291977885,0.398510427253,0.0950032576026
17,0.8123358792,0.696658157,0.131280787814,0.144436324313,81.503615144,59.5441634025,0.0,13.0920390697,24.3270546638,243.80964335,8.01021058656,0.810458257263,0.879128398617,0.188017633429
18,0.7998046801,0.6962571525,0.138452480769,0.154642505757,53.9768124038,15.4836784675,0.0,169.723558736,77.82036562,217.124237273,63.7418203987,0.314669695235,0.784243164756,0.015949628676
19,0.7569102154,0.6964820618,0.133295840119,0.138739328028,153.967053482,73.1147828718,0.0,29.2430047351,28.2361623843,122.230830543,50.4825623826,0.305589696167,0.501339017246,0.143826791981
20,0.7927268683,0.6964666457,0.14049407723,0.147441220703,89.5909196247,9.74029738021,0.0,114.666298651,48.921984657,201.091614536,73.0759690941,0.238393921146,0.243701904261,0.143343101884
21,0.7874422604,0.6965943902,0.135185040682,0.146878396088,195.367392512,26.1817392687,0.0,75.9870081998,64.393772244,189.182577237,86.016153201,0.223310160754,0.569782628286,0.405950672558
22,0.8003780014,0.6965274232,0.12492108426,0.135601243097,121.247073288,2.68297317044,0.0,59.423105286,24.9908587989,217.791196558,0.0713861696641,0.543179484207,0.679863178259,0.43440747792
23,0.8135315132,0.6965913563,0.134221512662,0.150757565375,82.6508946789,73.7987373032,0.0,54.5760573572,42.967692055,246.587971948,44.8623702486,0.733154163921,0.533271602506,0.33904435795
24,0.7709840895,0.6964205053,0.125998290525,0.134069440326,88.7041641923,43.4789896454,0.0,48.8845345619,4.89893352909,153.347865957,14.2306593626,0.777705261642,0.817098092864,0.478749229656
25,0.8001154254,0.6963446464,0.130270751299,0.141678086569,197.890579925,63.334685807,0.0,34.2178846678,51.7092534292,217.614973715,23.4573360606,0.877427219816,0.434547301895,0.292274294709
26,0.8033581986,0.696375781,0.133493329835,0.148592587447,218.732208638,63.6955191307,0.0,123.959613373,55.3114434203,224.681209466,68.0459130029,0.381321509428,0.843938027834,0.433922382138
27,0.8307126977,0.6966109302,0.13353858414,0.137273109491,95.444225518,13.1314102001,0.0,95.6538684266,13.3003644216,284.34353086,59.8734383508,0.207760415153,0.161220307567,0.0323145637622
28,0.7542180849,0.6963915194,0.120044991483,0.123466325755,35.2332051477,29.3141707307,0.0,16.7689538975,16.9397657025,116.502303805,40.5906936615,0.38494897491,0.275581801847,0.358826023685
29,0.7317134989,0.6964154411,0.151026408991,0.158036916144,8.70823724437,19.6698447665,0.0,42.7634349828,57.6074830416,66.8243944262,47.8249414208,0.652867450061,0.419098187585,0.0510089301874
30,0.8028514011,0.6964157301,0.137975270341,0.152567483291,60.905371117,69.9819705715,0.0,17.1026283173,84.3607426986,223.477682999,55.5097946095,0.647094494023,0.231357474787,0.203749444174
31,0.7409718621,0.6965173059,0.149805960913,0.156467747283,100.359052776,49.0295625845,0.0,143.033473342,65.7008399557,87.0382191583,12.3499021036,0.413022008289,0.371845292603,0.1027756681
32,0.8167084747,0.6964704331,0.127445920947,0.141357808592,176.286233678,26.0547443982,0.0,75.227359287,0.758028761558,253.842851582,75.9188722955,0.612858636794,0.810852141072,0.330215423166
33,0.7944287259,0.6963890011,0.132142012951,0.144085546231,71.5552724457,4.4571052232,0.0,73.7182937123,13.199608563,205.006426494,46.1776448246,0.366760194749,0.370865554072,0.317060308144
34,0.8064404474,0.6965024245,0.137502143007,0.139005563406,85.0212606923,28.5076048917,0.0,114.10747841,18.3676014941,231.182834183,39.4901862023,0.228393191534,0.105674627446,0.231963108188
35,0.8050071914,0.6964947221,0.136340269773,0.150828545929,186.365093055,63.5080671897,0.0,122.087223771,84.502599294,228.046915475,80.034970515,0.4054518312,0.720383984629,0.253670856786
36,0.8011844261,0.6964466751,0.123874081107,0.134936725206,51.5294809752,14.5662345493,0.0,5.99503561594,9.82910741631,219.742796122,45.8685494337,0.695580621788,0.136841886784,0.475307351616
37,0.7550679758,0.6964733504,0.140324139522,0.150004305986,157.161230098,49.195466111,0.0,78.1679949671,6.33111572072,118.19373579,19.8522498356,0.587279117881,0.97000922547,0.141398771491
38,0.8243497589,0.6965131093,0.130772590135,0.132736906311,61.7359736307,2.98168942773,0.0,108.596573276,74.6273728588,270.561753085,28.0395424887,0.253457559366,0.11957283718,0.4033540798
39,0.8195418493,0.6964229393,0.134405553546,0.150647703069,8.80221859416,33.0568008212,0.0,60.7586535022,79.5983408335,260.18247907,32.3394089605,0.768208207367,0.272456182215,0.267326137206
40,0.7375002983,0.6965577057,0.150228428056,0.158497942217,116.179230348,38.3338832988,0.0,72.7590541401,32.6910271249,79.2911996033,50.8492021444,0.81235287442,0.617476501445,0.0241718659213
41,0.7290485464,0.6965545861,0.132984856856,0.138631775721,232.757994723,47.3692155165,0.0,136.194235615,35.0260311313,60.6191245427,40.9054157552,0.848054690262,0.381886675083,0.440967463402
42,0.7916526725,0.6964969304,0.135147818264,0.149540814873,235.573483023,51.7759679444,0.0,121.031950107,53.7138192197,198.661044426,72.142956865,0.618661421483,0.368612284479,0.37983774195
43,0.7931076973,0.6964322094,0.138060784592,0.15314115527,139.223989672,6.76708556665,0.0,176.201771637,66.9373446045,202.004119302,10.6061510812,0.435387730492,0.94018354822,0.244226599441
44,0.7815531449,0.696562122,0.141304477188,0.156300066277,166.053715117,16.9169748152,0.0,147.613275143,23.7140647694,176.294749496,30.9987959206,0.857167907975,0.315314462724,0.238639498938
45,0.78023408,0.6963698164,0.122292769242,0.127994650647,172.896303321,12.9595085687,0.0,31.8820846248,4.80444776165,173.815904152,27.6486839562,0.492835776151,0.0598113175375,0.356767536883
46,0.787243701,0.6963223225,0.139142411961,0.15240205161,51.0968475835,1.3460820221,0.0,21.651026758,57.9061952871,189.344560696,74.2696968914,0.631898533837,0.59607413944,0.0745443277283
