cid,class,year,metamer_rank,number_ramif,ramif_class
10707,I,98,0,1,D
10709,D,98,0,0,B
10711,W,99,0,0,B
10711,W,99,1,0,B
10711,W,99,2,0,B
10711,W,99,3,0,B
10711,W,99,4,0,B
10711,W,99,5,0,B
10711,W,99,6,0,B
10711,W,99,7,0,B
10711,W,99,8,0,B
10711,W,99,9,0,B
10711,W,99,10,0,B
10711,W,99,11,0,B
10711,W,99,12,0,B
10711,W,99,13,0,B
10711,W,99,14,0,B
10711,W,99,15,0,B
10702,I,97,1,1,D
10730,D,98,0,0,B
10732,I,99,0,1,W
10735,W,99,0,0,B
10735,W,99,1,0,B
10735,W,99,2,0,B
10735,W,99,3,0,B
10735,W,99,4,0,B
10732,I,99,1,0,B
10702,I,97,2,0,B
10497,U,96,19,0,B
10497,U,96,20,0,B
10497,U,96,21,0,B
10497,U,96,22,0,B
10497,U,96,23,0,B
10497,U,96,24,0,B
10497,U,96,25,0,B
10497,U,96,26,0,B
10497,U,96,27,0,B
10497,U,96,28,1,I
10754,I,97,0,1,D
10756,D,97,0,0,B
10758,W,98,0,0,B
10758,W,98,1,0,B
10758,W,98,2,0,B
10758,W,98,3,0,B
10758,W,98,4,0,B
10758,W,98,5,0,B
10758,W,98,6,0,B
10758,W,98,7,0,B
10758,W,98,8,0,B
10758,W,98,9,0,B
10758,W,98,10,0,B
