cid,class,year,metamer_rank,number_ramif,ramif_class
9402,D,97,0,0,B
9404,D,98,0,0,B
9406,D,99,0,0,B
9375,U,96,6,1,I
9410,I,98,0,0,B
9410,I,98,1,0,B
9375,U,96,7,0,B
9375,U,96,8,0,B
9375,U,96,9,1,I
9417,I,98,0,1,D
9419,D,99,0,0,B
9375,U,96,10,1,I
9423,I,97,0,1,W
9426,W,97,0,0,B
9426,W,97,1,0,B
9426,W,97,2,0,B
9426,W,97,3,0,B
9426,W,97,4,0,B
9426,W,97,5,0,B
9433,W,98,0,0,B
9433,W,98,1,0,B
9433,W,98,2,0,B
9433,W,98,3,0,B
9433,W,98,4,1,D
9440,D,99,0,0,B
9433,W,98,5,0,B
9433,W,98,6,0,B
9433,W,98,7,0,B
9433,W,98,8,0,B
9433,W,98,9,1,D
9448,D,99,0,0,B
9433,W,98,10,0,B
9433,W,98,11,0,B
9433,W,98,12,0,B
9433,W,98,13,0,B
9454,I,99,0,1,W
9457,W,99,0,0,B
9457,W,99,1,0,B
9457,W,99,2,0,B
9457,W,99,3,0,B
9457,W,99,4,0,B
9457,W,99,5,0,B
9457,W,99,6,0,B
9457,W,99,7,0,B
9454,I,99,1,0,B
9375,U,96,11,0,B
9375,U,96,12,1,I
9470,I,97,0,1,D
9472,D,97,0,0,B
9474,I,98,0,1,D
9476,D,98,0,0,B
9478,I,99,0,0,B
9478,I,99,1,0,B
9375,U,96,13,1,D
9483,D,97,0,0,B
9485,D,98,0,0,B
9487,I,99,0,0,B
9375,U,96,14,0,B
9375,U,96,15,0,B
9375,U,96,16,0,B
9492,I,97,0,1,I
9492,I,97,1,0,B
9492,I,97,1,1,D
9496,D,97,0,0,B
9498,W,98,0,0,B
9498,W,98,1,0,B
9498,W,98,2,1,D
9503,D,99,0,0,B
9498,W,98,3,0,B
9498,W,98,4,0,B
9507,I,99,0,0,B
9507,I,99,1,0,B
8590,U,95,49,1,U
9512,U,96,0,0,B
9512,U,96,1,0,B
9512,U,96,2,0,B
9512,U,96,3,0,B
9512,U,96,4,0,B
9512,U,96,5,0,B
9512,U,96,6,0,B
9512,U,96,7,1,D
9522,D,97,0,0,B
9524,D,98,0,0,B
9526,D,99,0,0,B
9512,U,96,8,1,D
9530,D,97,0,0,B
9532,I,98,0,1,D
9535,D,99,0,0,B
9532,I,98,1,0,B
9512,U,96,9,0,B
9512,U,96,10,1,D
9541,D,97,0,0,B
9543,I,98,0,1,D
9546,D,98,0,0,B
9548,I,99,0,1,D
9550,D,99,0,0,B
9543,I,98,1,0,B
9512,U,96,11,1,I
9555,I,97,0,1,D
9557,D,97,0,0,B
9512,U,96,12,1,I
9561,I,97,0,1,D
9563,D,97,0,0,B
9512,U,96,13,0,B
9512,U,96,14,0,B
9567,I,97,0,1,W
9570,W,97,0,0,B
9570,W,97,1,0,B
9570,W,97,2,0,B
9570,W,97,3,0,B
9570,W,97,4,1,D
9577,D,98,0,0,B
9579,D,99,0,0,B
9570,W,97,5,1,D
9583,D,99,0,0,B
9570,W,97,6,0,B
9570,W,97,7,1,D
9588,D,98,0,0,B
9590,I,99,0,0,B
9590,I,99,1,0,B
9570,W,97,8,0,B
9570,W,97,9,0,B
9595,I,98,0,1,W
9598,W,98,0,0,B
9598,W,98,1,0,B
9598,W,98,2,0,B
9598,W,98,3,0,B
9598,W,98,4,0,B
9598,W,98,5,1,D
9606,D,99,0,0,B
9598,W,98,6,1,D
9610,D,99,0,0,B
9598,W,98,7,1,D
9614,D,99,0,0,B
9598,W,98,8,1,D
9618,D,99,0,0,B
9598,W,98,9,0,B
9598,W,98,10,0,B
9598,W,98,11,0,B
9623,I,99,0,0,B
9623,I,99,1,0,B
9595,I,98,1,0,B
9567,I,97,1,0,B
8590,U,95,50,1,U
9629,U,96,0,0,B
9629,U,96,1,0,B
9629,U,96,2,0,B
9629,U,96,3,0,B
9629,U,96,4,0,B
9629,U,96,5,1,D
9637,D,97,0,0,B
9639,I,98,0,1,D
9641,D,98,0,0,B
9643,D,99,0,1,D
9646,D,99,0,0,B
9629,U,96,6,0,B
9629,U,96,7,1,D
9651,D,97,0,0,B
9653,I,98,0,1,W
9656,W,98,0,0,B
9656,W,98,1,0,B
9656,W,98,2,0,B
9656,W,98,3,1,D
9662,D,99,0,0,B
9653,I,98,1,0,B
9629,U,96,8,1,I
9667,I,97,0,1,D
9669,D,97,0,0,B
9671,I,98,0,1,D
9673,D,98,0,0,B
9629,U,96,9,1,I
9677,I,97,0,1,D
9679,D,97,0,0,B
9681,I,98,0,1,D
9683,D,98,0,0,B
9685,D,99,0,0,B
9629,U,96,10,1,I
9689,I,97,0,1,D
9691,D,97,0,0,B
9629,U,96,11,0,B
9629,U,96,12,1,I
9696,I,97,0,0,B
9629,U,96,13,1,I
9700,I,97,0,0,B
9629,U,96,14,0,B
9629,U,96,15,0,B
9704,I,97,0,1,W
9706,W,97,0,0,B
9706,W,97,1,0,B
9706,W,97,2,1,D
9711,D,99,0,0,B
9706,W,97,3,0,B
9706,W,97,4,1,D
9716,D,99,0,0,B
9706,W,97,5,0,B
9706,W,97,6,0,B
9706,W,97,7,0,B
9706,W,97,8,0,B
9706,W,97,9,0,B
9706,W,97,10,0,B
9724,I,98,0,1,W
9726,W,98,0,0,B
9726,W,98,1,0,B
9726,W,98,2,0,B
9726,W,98,3,0,B
9726,W,98,4,0,B
9726,W,98,5,0,B
9726,W,98,6,0,B
9726,W,98,7,1,D
9736,D,99,0,0,B
9726,W,98,8,0,B
9739,I,99,0,1,W
9741,W,99,0,0,B
9741,W,99,1,0,B
9741,W,99,2,0,B
9741,W,99,3,0,B
9739,I,99,1,0,B
9724,I,98,1,0,B
9704,I,97,1,0,B
3,U,94,45,0,B
3,U,94,46,0,B
3,U,94,47,0,B
3,U,94,48,0,B
3,U,94,49,0,B
3,U,94,50,0,B
3,U,94,51,1,I
9757,I,95,0,1,D
9759,D,95,0,0,B
9761,I,96,0,1,D
9764,D,97,0,0,B
9761,I,96,1,1,U
9767,U,96,0,0,B
9767,U,96,1,0,B
9767,U,96,2,0,B
9767,U,96,3,0,B
9767,U,96,4,2,D
9774,D,99,0,0,B
9777,D,97,0,0,B
9779,D,98,0,0,B
9781,D,99,0,0,B
9767,U,96,5,1,D
9785,D,97,0,0,B
9767,U,96,6,1,D
9789,D,97,0,0,B
9791,I,98,0,0,B
9791,I,98,1,0,B
9767,U,96,7,1,D
9796,D,97,0,0,B
9798,I,98,0,1,D
9801,D,98,0,0,B
9803,I,99,0,0,B
9798,I,98,1,0,B
9767,U,96,8,1,D
9808,D,97,0,0,B
9767,U,96,9,1,D
9812,D,97,0,0,B
9814,I,98,0,1,D
9817,D,98,0,0,B
9819,D,99,0,0,B
9814,I,98,1,0,B
9767,U,96,10,1,D
9824,D,97,0,0,B
9826,I,98,0,1,D
9829,D,98,0,0,B
9831,D,99,0,0,B
9826,I,98,1,0,B
9767,U,96,11,1,D
9836,D,97,0,0,B
9838,I,98,0,1,D
9841,D,98,0,0,B
9843,I,99,0,1,D
9845,D,99,0,0,B
9838,I,98,1,1,I
9838,I,98,2,0,B
9838,I,98,2,0,B
9767,U,96,12,1,D
9852,D,97,0,0,B
9854,I,98,0,1,W
9857,W,98,0,0,B
9857,W,98,1,0,B
9857,W,98,2,0,B
9857,W,98,3,0,B
9857,W,98,4,0,B
9857,W,98,5,0,B
9864,I,99,0,1,W
9867,W,99,0,0,B
9867,W,99,1,0,B
