class,year,number
I,96,36
I,97,200
I,98,335
I,99,595
I,94,0
I,95,4
U,96,36
U,97,52
U,98,22
U,99,17
U,94,1
U,95,5
D,96,28
D,97,310
D,98,518
D,99,845
D,94,0
D,95,8
W,96,28
W,97,62
W,98,153
W,99,194
W,94,0
W,95,0
