class,year,I,U,D,W
I,96,0,7,16,8
I,97,1,29,91,34
I,98,1,0,195,99
I,99,0,0,299,158
I,94,0,0,0,0
I,95,0,1,4,0
U,96,19,10,0,6
U,97,31,17,1,1
U,98,8,10,0,4
U,99,0,0,0,1
U,94,0,1,0,0
U,95,1,1,0,0
D,96,17,2,8,1
D,97,162,0,67,17
D,98,266,0,132,16
D,99,0,1,0,1
D,94,0,0,0,0
D,95,4,4,0,0
W,96,19,0,0,8
W,97,47,4,2,6
W,98,122,5,3,11
W,99,0,0,0,0
W,94,0,0,0,0
W,95,0,0,0,0
