#Pommier Melgueil Braeburn 64				
CODE :	FORM-A			
CLASSES:				
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION
$ 	0	FREE	FREE	IMPLICIT
P	1	FREE	FREE	EXPLICIT
R	2	PURELINEAR	FREE	IMPLICIT
M	2	PURELINEAR	FREE	IMPLICIT
S	2	PURELINEAR	FREE	IMPLICIT
I	3	FREE	FREE	EXPLICIT
U 	3	FREE	FREE	EXPLICIT
W	3	FREE	FREE	EXPLICIT
D 	3	FREE	FREE	EXPLICIT
E	4	FREE	FREE	EXPLICIT
F	4	FREE	FREE	EXPLICIT

DESCRIPTION :			
LEFT	RIGHT	RELTYPE	MAX
R	R,M,S	+	?
R	R,M,S	<	1
M	R,M,S	+	?
M	M,S	<	1
S	R,M,S	+	?
S	S	<	1
U	U,W,I,D	+	?
U	U,W,I,D	<	1
W	U,W,I,D	+	?
W	U,W,I,D	<	1
I	U,W,I,D	+	?
D	U,W,I,D	<	1
D	D, W	+	?
E	E,F	+	?
E	E,F	<	1


FEATURES:			
NAME	TYPE		
TopDia	REAL		
XX	REAL		
YY	REAL		
ZZ	REAL		
d98	REAL		
Nli98	INT		
x98	REAL		
y98	REAL		
z98	REAL		
d97	REAL		
rem	ALPHA		
Nli97	INT
x97	REAL
y97	REAL
z97	REAL
Nfruit	REAL
MS	REAL
fermete	REAL
IR	REAL
diam	REAL
hauteur	REAL
color	REAL
codeami	REAL
Poids	REAL
Densite	REAL
Hertz	REAL
Elson	REAL
lin	INT																																		

MTG:																																			
ENTITY-CODE								TopDia	XX	YY	ZZ	d98	Nli98	x98	y98	z98	d97	rem	Nli97	x97	y97	z97	Nfruit	MS	fermete	IR	diam	hauteur	color	codeami	Poids	Densite	Hertz	Elson	lin
					^<F26																														830
			^<F6										514										6	15.7	9	12.8	86.4	75.3	95	8.5	290.82	0.8730711	875	3.212	831
		^<E18											515																						832
			+S1/I97/E1+D97/E1										516						141	-73.35	69.47	-60.19													833
		^<E19<E20										7.7	517	96.01	66.24	-41.99	78		142	-75.32	69.95	-59.74													834
		^<W96/E1<<E5										8.7	518	96.34	66.09	-41.16	85		143	-76.16	71.17	-58.47													835
		^<E6<<E10										9	519	95.16	66.35	-39.69	86		144	-77.78	71.62	-58.18													836
		^<E11<E12											520																						837
			+S1/I97/E1+D97/E1										521						145	-78.72	71.53	-55.93													838
			^<I98/E1+D98/E1										522	96.85	64.88	-36.54																			839
		^<E13											523																						840
			+M1/I97/E1+W97/E1<<E6										524						146	-83.23	71.51	-59.1													841
			^<I98/E1						148.5	-38.69	-48.89		525	90.21	64.34	-34.39																			842
				+W98/E1<<E5				34	148.75	-40.16	-48.05	2.9	526	88.62	63.87	-34.77																			843
				^<E6																															844
					+S1/I99/E1+D99/E1				148.04	-40.89	-46.1																								845
				^<E7<<E9									527	85.92	61.36	-33.06																			846
				^<I99/E1					148.67	-43.31	-44.04																								847
					+S1/D99/E1				147.9	-43.68	-44.45																								848
				^<E2																															849
					+S1/D99/E1				148.84	-42.5	-43.6																								850
				^<F27																															851
			^<F34										528																						852
		^<E14<E15										8.5	529	92.71	66.8	-36.52			147	-81.9	73.01	-56.77													853
		^<I97/E1							150.18	-36.02	-50.82		530				84																		854
			+R1/U97/E1<<E5					62	149.15	-36.72	-45.59	5.7	531	93.25	66.62	-29.79	54		148	-86.34	73.04	-52.68													855
			^<E6										532																						856
				+S1/I98/E1+D98/E1									533	93.13	68.39	-28.33																			857
			^<E7										534																						858
				+S1/I98/E1									535	92.52	66.6	-26.59																			859
					+D98/E1								536	93.26	65.24	-26.3																			860
					^<D99/E1				149.09	-37.59	-40.59																								861
				^<F35									537																						862
			^<E8<E9										538																						863
				+S1/I98/E1									539	92.79	67.25	-20.81																			864
			^<E10									5.5	540	94.13	66.47	-20.4			149	-96.98	71.71	-46.17													865
			^<E11<E12										541																						866
				+S1/I98/E1									542	92.68	66.84	-16.23																			867
					+D98/E1								543	92.72	66.63	-15.03																			868
					^<D99/E1				150.84	-39.32	-30.64																								869
				^<F37									544																						870
			^<E13										545																						871
				+S1/I98/E1+D98/E1									546	95.24	64.78	-14.22																			872
				^<I99/E1+D99/E1					149.5	-34.45	-29.33																								873
			^<E14										547																						874
				+S1/I98/E1+D98/E1									548	95.25	67.09	-12.42																			875
				^<D99/E1					153.59	-34.55	-26.85																								876
			^<E15					51	149.56	-37.68	-27.45		549				57																		877
				+S1/I98/E1									550	95.87	66.14	-11.76																			878
					+D98/E1								551	91.42	64.98	-10.32																			879
					^<I99/E1+D99/E1				146.89	-41.07	-24.78																								880
				^<F39									552																						881
			^<E16										553						150	-102.53	66.13	-41.32													882
			^<I98/E1										554	96.89	62.28	-6.15																			883
				+W98/E1<<E5				46	148.5	-40.12	-20.36	3.1	555	95.83	67.43	-4.49																			884
					+S1/I99/E1				148.21	-39.95	-20.79																								885
				^<E6<E7																															886
					+S1/I99/E1+D99/E1				146.18	-43.14	-17.85																								887
				^<E8																															888
					+S1/I99/E1+D99/E1				147.93	-43.58	-16.19																								889
				^<E9<<E12									556	95.53	66.83	2.64																			890
				^<I99/E1+D99/E1					149.03	-47.16	-12.49																								891
	^<E4												557																						892
		+U96/E1<<E5						95	124.43	-23.05	-80.88	9.1	558	99.01	52.24	-72.53	82		151	-61.59	49.24	-80.59													893
		^<E6<<E9											559																						894
			+S1/I97/E1+D97/E1										560						152	-68.03	49.48	-75.22													895
			^<I98/E1+D98/E1										561	95.25	51.77	-65.59																			896
			^<I99/E1						126.76	-28.2	-72.44																								897
				+S1/D99/E1					126.32	-27.67	-73.55																								898
			^<F28																																899
		^<E9<E10										8.1	562	96.06	49.34	-65.3	76		153	-67.74	48.28	-73.26													900
		^<E11											563																						901
			+S1/I97/E1+D97/E1										564						154	-71.07	47.27	-72.55													902
			^<I98/E1+D98/E1										565	92.71	48.9	-61.81																			903
			^<I99/E1+D99/E1						123.08	-30.97	-69.94																								904
		^<E12											566																						905
			+S1/I97/E1+D97/E1										567						155	-70.94	50.55	-69.77													906
			^<I98/E1+D98/E1										568	93.81	50.93	-58.25																			907
			^<I99/E1						127.22	-28.6	-65.41																								908
				+S1/D99/E1					127.28	-29.14	-65.37																								909
			^<F29																																910
		^<E13											569																						911
			+S1/I97/E1+D97/E1										570						156	-71.21	45.56	-68.96													912
			^<I98/E1+D98/E1										571	94	44.1	-60.54																			913
			^<I99/E1						117.46	-29.19	-65.46																								914
				+S1/D99/E1					117.75	-29.61	-64.8																								915
			^<F30																																916
		^<E14											572																						917
			+S1/I97/E1+D97/E1										573						157	-74.78	48.27	-69.03													918
			^<I98/E1										574	90.26	48.11	-54.53																			919
				+D98/E1									575	90.7	48.24	-54.03																			920
				^<I99/E1+D99/E1					124.39	-33.32	-62.15																								921
			^<F19										576																						922
		^<E15						83	120.19	-30.25	-62.98	7.8	577	92.69	45.37	-56.95	69		158	-73.88	46.65	-66.76													923
			+S1/I97/E1+D97/E1										578						159	-74.48	46.58	-64.28													924
			^<I98/E1+D98/E1										579	93.68	44.09	-54.15																			925
			^<I99/E1+D99/E1						118.83	-29.47	-59.04																								926
		^<E16											580																						927
			+S1/I97/E1+D97/E1										581						160	-75.93	45.45	-66.3													928
			^<I98/E1+D98/E1										582	90.22	42.43	-56.98																			929
			^<I99/E1						118.32	-31.75	-61.67																								930
				+S1/D99/E1					118.22	-31.69	-61.46																								931
			^<F31																																932
		^<W96/E1<<E5						81	119.47	-30.6	-59.02	7.7	583	91.49	43.08	-53.8	76		161	-76.41	46.84	-64.52													933
		^<E6<<E8											584																						934
			+S1/I97/E1+D97/E1										585						162	-80.39	49.8	-64.2													935
			^<I98/E1+D98/E1										586	89.64	44.39	-50.16																			936
			^<I99/E1						122.62	-33.37	-54.12																								937
				+S1/D99/E1					122.51	-33.54	-54.58																								938
			^<F32																																939
		^<E9											587																						940
			+S1/I97/E1+D97/E1										588						163	-80.69	46.16	-60.72													941
			^<I98/E1										589	85.98	42.66	-50.71																			942
				+W98/E1<<E5								3.2	590	85.4	44.18	-51.11																			943
				^<E6<<E12									591	73.83	47.18	-53.16																			944
				^<I99/E1+D99/E1					118.66	-35.73	-55.31																								945
		^<E10											592				87		164	-78.83	47.3	-64.13													946
		^<E11											593																						947
			+M1/I97/E1+W97/E1<<E6										594						165	-81.9	45.81	-64.04													948
			^<I98/E1									8.7	595	89.78	40.1	-48.86																			949
				+W98/E1<<E5				35	118.87	-32.54	-51.57	2.2	596	89.67	41.8	-47.45																			950
				^<E6																															951
					+S1/I99/E1+D99/E1				117.44	-32.9	-49.95																								952
				^<E7																															953
					+S1/D99/E1				119.8	-34.57	-48.56																								954
				^<E8<E9																															955
					+S1/D99/E1				118.26	-36.22	-46.53																								956
				^<E10<E11									597	88.06	41.24	-39.44																			957
				^<I99/E1+D99/E1					118.57	-36.86	-44.97																								958
		^<I97/E1							121.19	-32.4	-54.31	7.5	598	89.76	44.78	-48.31	81		166	-81.6	48.62	-63.1													959
			+U97/E1<<E4										599																						960
				+S1/I98/E1+D98/E1									600	90.85	46.46	-44.57																			961
			^<E5					57	124.72	-29.69	-49.88	4.7	601	91.8	47.51	-43.19	49		167	-82.8	55.91	-61.55													962
			^<E6<<E8										602																						963
				+S1/I98/E1+D98/E1									603	92.8	54.67	-34.71																			964
				^<D99/E1					130.97	-27.33	-41.25																								965
			^<E9<E10									4.4	604	92.3	55.01	-31.18			168	-86.8	68.69	-61.69													966
			^<E11										605																						967
				+S1/I98/E1+D98/E1									606	93.3	55.62	-27.32																			968
				^<D99/E1					134.19	-27.62	-34.22																								969
			^<E12										607																						970
				+S1/I98/E1+D98/E1									608	91.34	56.23	-24.11																			971
				^<I99/E1																															972
					+S1/D99/E1				131	-28.77	-30.22																								973
				^<E2																															974
					+S1/D99/E1				131.54	-28.55	-29.57																								975
			^<E13										609																						976
				+S1/I98/E1+D98/E1									610	93.06	58.6	-22.88																			977
				^<I99/E1+D99/E1					134.24	-26.99	-29.44																								978
			^<E14										611																						979
				+S1/I98/E1+D98/E1									612	92.21	57.75	-19.49																			980
				^<I99/E1					135.16	-30.23	-24.92																								981
					+S1/D99/E1				133.24	-27.03	-25.06																								982
				^<F34																															983
			^<E15					50	134.75	-26.07	-26.26	4	613	92.2	58.34	-19.55	38		169	-90.09	80.43	-63.13													984
				+S1/I98/E1									614	93.39	56.99	-17.26																			985
					+D98/E1								615	91.41	56.99	-17.33																			986
					^<I99/E1+D99/E1				131.86	-24.1	-24.04																								987
				^<F20									616																						988
			^<E16<E17										617																						989
				+S1/I98/E1									618	91.26	59.79	-16.06																			990
					+W98/E1<<E6								619	89.16	61.81	-15.61																			991
					^<I99/E1				133.74	-26.24	-20.06																								992
						+S1/D99/E1			133.88	-26.85	-20.3																								993
					^<F35																														994
			^<E18										620						170	-90.68	82.41	-63.89													995
			^<U98/E1<<E5					40	137.6	-26.64	-17.45	4	621	91.76	60.71	-13.87																			996
			^<E6<E7																																997
				+S1/I99/E1+D99/E1					140.23	-28.44	-11.61																								998
			^<E8																																999
				+S1/I99/E1					141.45	-29.14	-9.99																								1000
			^<E9<E10									2.8	622	85.77	69.72	-6.08																			1001
				+S1/I99/E1+D99/E1					144.68	-28.22	-4.17																								1002
			^<E11																																1003
				+S1/I99/E1					143.59	-30	-0.55																								1004
					+S1/D99/E1				144.6	-29.9	-1.01																								1005
				^<F36																															1006
			^<E12																																1007
				+S1/I99/E1+D99/E1					143.78	-28.96	1.63																								1008
			^<E13																																1009
				+S1/I99/E1+D99/E1					144.34	-29.3	1.68																								1010
			^<E14<E15										623	81.6	76.17	1.67																			1011
			^<I99/E1+D99/E1						146.41	-29.25	2.9																								1012
^<E35								555	67.33	5.04	-101.98	624				457																			1013
	+S1/I95/E1+D95/E1<I96/E1											51.53	625	126.28	3.37	-104.13			173	-23.04	-6.8	-99.8													1014
		+S1/D96/E1<I97/E1+D97/E1											626						171	-17.62	-7.67	-95.98													1015
		^<I98/E1+D98/E1											627	132.53	-2.02	-101.43																			1016
		^<I99/E1+D99/E1							59.86	15.7	-99.02																								1017
	^<E2												628																						1018
		+D96/E1<I97/E1+D97/E1											629						172	-17.05	-10.86	-95.98													1019
		^<I98/E1+D98/E1											630	132.49	1.51	-101.43																			1020
		^<I99/E1+D99/E1							77.04	16.48	-99.49																								1021
^<E36													631																						1022
	+R1/I95/E1+U95/E1<<E5							284	63.31	6.55	-103.1	26.22	632	119.5	-4.36	-104.72	244		174	-30.7	-13.11	-105.07													1023
	^<E6<<E10											23.1	633	111.81	-9.57	-107.23	225		175	-37.34	-19.83	-105.84													1024
	^<E11<<E15							242	46.43	-6.65	-104.91	21.3	634	103.78	-16.73	-108.09	196		176	-41.89	-33.48	-108.74													1025
	^<E16<<E20											20.1	635	95.55	-24.36	-104.57	191		177	-49.08	-33.91	-103.34													1026
	^<E21<<E25							251	37.88	-21.4	-103.09	20.6	636	92.1	-27.91	-99.95	212		178	-56.14	-40.1	-98.52													1027
	^<E26												637																						1028
		+S1/I96/E1+D96/E1<I97/E1+D97/E1											638						179	-55.66	-39.95	-93.54													1029
		^<I98/E1+D98/E1											639	91.1	-26.6	-95.43																			1030
		^<I99/E1+D99/E1							38.35	-22.2	-95.28																								1031
	^<E27												640																						1032
		+S1/I96/E1+D96/E1<I97/E1+D97/E1											641						180	-56.58	-42.36	-98.94													1033
		^<I98/E1+D98/E1											642	89.2	-34.21	-98.97																			1034
		^<I99/E1																																	1035
			+S1/D99/E1						32.87	-22.97	-102.3																								1036
		^<E2																																	1037
			+S1/D99/E1						34.22	-22.54	-102.46																								1038
	^<E28												643																						1039
		+R1/I96/E1+U96/E1<<E5						122	38.12	-27.73	-98.79	10.9	644	86.55	-27.42	-97.5	103		181	-60.43	-39.78	-95.78													1040
		^<E6<<E10										9.4	645	80.37	-23.81	-94.65	94		182	-66.87	-36.5	-93.44													1041
		^<E11<<E14											646																						1042
			+S1/I97/E1+D97/E1										647						183	-74.03	-32.58	-88.8													1043
			^<I98/E1+D98/E1										648	73.36	-19.26	-88.27																			1044
			^<I99/E1+D99/E1						40.06	-42.43	-88.95																								1045
		^<E15						98	41.3	-42.08	-90.75	8.4	649	73.47	-18.91	-89.44	90		184	-75.14	-31.88	-89.63													1046
		^<E16											650																						1047
			+S1/I97/E1										651						185	-77.25	-30.55	-89.14													1048
		^<E17<E18											652																						1049
			+S1/I97/E1										653																						1050
				+S1/D97/E1									654						186	-80.9	-27.8	-87.03													1051
				^<I98/E1+D98/E1									655	67.55	-13.61	-85.65																			1052
				^<I99/E1+D99/E1					41.58	-49.08	-85.81																								1053
			^<E2										656																						1054
				+D97/E1									657						187	-80.46	-27.15	-88.49													1055
				^<W98/E1<<E8									658	68.34	-12.96	-88.67																			1056
				^<I99/E1+D99/E1					43.8	-51.35	-83.55																								1057
		^<E19											659																						1058
			+S1/I97/E1+D97/E1										660						188	-80.91	-28.79	-83.91													1059
			^<W98/E1<<E8										661	68.16	-18.18	-83.83																			1060
			^<I99/E1						37.76	-45.42	-82.8																								1061
				+S1/D99/E1					37.06	-45.9	-82.71																								1062
			^<F38																																1063
		^<E20										8.4	662	67.51	-13.74	-82.35	82		189	-81.91	-26.31	-84.48													1064
			+S1/I97/E1+D97/E1										663						190	-81.91	-23.85	-84.24													1065
			^<I98/E1+D98/E1										664	68.3	-10.7	-80.66																			1066
			^<D99/E1						45.45	-49.65	-82.89																								1067
		^<E21<E22											665																						1068
			+S1/I97/E1										666																						1069
				+S1/D97/E1									667						191	-84.95	-27.41	-82.98													1070
				^<I98/E1									668	64.42	-17.13	-81.24																			1071
					+W98/E1<<E6								669	65	-17.52	-81.77																			1072
					^<I99/E1+D99/E1				45.99	-50.35	-77.68																								1073
				^<F41									670																						1074
			^<E2										671																						1075
				+D97/E1									672						192	-82.86	-23.38	-79.82													1076
				^<I98/E1+D98/E1									673	67.36	-11.19	-76.99																			1077
				^<I99/E1+D99/E1					44.18	-46.01	-78.83																								1078
		^<E23											674																						1079
			+S1/I97/E1+D97/E1										675						193	-81.79	-24.93	-80.38													1080
			^<I98/E1+D98/E1										676	70.08	-13.41	-77.66																			1081
		^<E24											677																						1082
			+S1/I97/E1+D97/E1										678						194	-85.41	-22.69	-78													1083
			^<I98/E1+D98/E1										679	64.64	-8.41	-75.38																			1084
			^<I99/E1+D99/E1						40.19	-50.15	-73.61																								1085
		^<E25						80	43.33	-51.6	-74.67		680				68		195	-85.74	-24.91	-76.26													1086
			+S1/I97/E1+D97/E1									7	681	65.43	-12.46	-72.1			196	-85.04	-23.28	-76.52													1087
			^<I98/E1+D98/E1										682	66.15	-15.04	-72.21																			1088
		^<E26<<E29											683																						1089
			+S1/I97/E1+D97/E1										684						197	-84.18	-21.4	-74.88													1090
			^<I98/E1										685	68.37	-11.7	-69.93																			1091
				+D98/E1									686	68.58	-10.12	-72.44																			1092
				^<I99/E1+D99/E1					42.98	-52.55	-69.29																								1093
			^<F42										687																						1094
		^<E30											688				80		198	-86.17	-23.2	-70.71													1095
			+S1/I97/E1+D97/E1									8.4	689	65.42	-12.07	-66.78			199	-85.61	-22.59	-70.68													1096
			^<I98/E1+D98/E1										690	63.98	-11.58	-69.37																			1097
			^<I99/E1+D99/E1						44.14	-48.01	-70.95																								1098
		^<E31<<E34											691																						1099
			+M1/W97/E1<<E5										692						200	-84.6	-22.35	-70.55													1100
			^<I98/E1										693	68.91	-12.37	-65.59																			1101
				+D98/E1									694	67.84	-13.64	-67.29																			1102
			^<F43										695																						1103
		^<E35<E36											696						201																1104
			+S1/I98/E1										697	62.45	-8.33	-62.27																			1105
				+M1/W98/E1<<E8									698	63.04	-9.11	-56.26																			1106
			^<E2										699																						1107
				+W98/E1<<E6									700	61.87	-10.41	-60.49																			1108
				^<I99/E1					44.16	-57.29	-56.63																								1109
					+S1/D99/E1				43.97	-57.3	-56.36																								1110
				^<F39																															1111
			^<F44										701																						1112
		^<I97/E1										9.4	702	66.12	-12.51	-63.37	101		202	-85.86	-22.63	-65.6													1113
			+R1/U97/E1<<E5					73	44.07	-52.25	-58.27	5.2	703	63.12	-11.22	-58.17	58		203	-90.65	-18.91	-62.28													1114
				+S1/I98/E1+D98/E1									704	62.4	-9.76	-57.19																			1115
				^<I99/E1+D99/E1					44.53	-52.99	-56.93																								1116
			^<E6<E7										705																						1117
				+S1/I98/E1+D98/E1									706	60.74	-9.58	-53.57																			1118
				^<I99/E1+D99/E1					41.54	-56.13	-53.73																								1119
			^<E8<E9										707																						1120
				+S1/I98/E1+D98/E1									708	58.39	-10.03	-48.55																			1121
				^<I99/E1+D99/E1					40.44	-56.93	-48.66																								1122
			^<E10									4.4	709	60.74	-8.02	-47.63			204	-100	-13.42	-56.75													1123
				+S1/I98/E1+D98/E1									710	60.14	-7.93	-44.83																			1124
				^<I99/E1					43.79	-56.79	-44.84																								1125
					+S1/D99/E1				42.87	-55.81	-43.85																								1126
				^<F40																															1127
			^<E11<E12										711																						1128
				+S1/I98/E1+D98/E1									712	56.51	-6.43	-42.36																			1129
			^<E13										713																						1130
				+S1/I98/E1									714	59.73	-8	-39.35																			1131
					+D98/E1								715	59.52	-7.45	-40.8																			1132
					^<I99/E1+D99/E1				42.54	-55.39	-39.81																								1133
				^<F45									716																						1134
			^<E14										717																						1135
				+S1/I98/E1+D98/E1									718	54.93	-9.23	-37.56																			1136
				^<I99/E1+D99/E1					38.37	-58.51	-36.22																								1137
			^<E15					54	41.56	-58.46	-37.16	4	719	56.85	-6.28	-38.13	45		205	-108.24	-7.38	-56.41													1138
				+M1/I98/E1									720	55.27	-5.87	-37.33																			1139
					+W98/E1<<E8								721	54.33	-4.15	-35.58																			1140
					^<I99/E1				42.89	-60.3	-31.74																								1141
						+S1/D99/E1			44.27	-57.52	-30.87																								1142
					^<F41																														1143
			^<E16										722																						1144
				+S1/I98/E1									723	56.04	-9.94	-34.47																			1145
					+D98/E1								724	55.17	-13.47	-34.5																			1146
					^<I99/E1+D99/E1				41.01	-55.61	-33.6																								1147
				^<F46									725																						1148
			^<E17<E18										726	53.91	-9.32	-33.3			206	-110.72	-5.77	-56.92													1149
			^<W98/E1<<E5					38	41.17	-59.92	-29.89	2.5	727	50.52	-1.88	-34.65																			1150
				+S1/I99/E1+D99/E1					43.41	-62.22	-29.7																								1151
			^<E6																																1152
				+S1/I99/E1+D99/E1					41.27	-61.97	-27.15																								1153
			^<E7																																1154
				+S1/I99/E1+D99/E1					44.89	-63.61	-25.03																								1155
			^<E8																																1156
				+S1/I99/E1+D99/E1					41.81	-63.2	-23.66																								1157
			^<E9																																1158
				+S1/I99/E1+D99/E1					40.13	-66.66	-22.5																								1159
			^<E10<E11										728	41.79	0.83	-34.17																			1160
			^<I99/E1						40.54	-66.63	-21.17																								1161
				+M1/W99/E1<<E5					40.3	-68.97	-21.83																								1162
			^<E2																																1163
				+S1/D99/E1					41.28	-67.73	-22.61																								1164
			^<F42																																1165
		^<F9											729										9		8.2	14.2	80.6	74.1	98	5	243.61	0.8883743	958	3.4413	1166
	^<E29												730																						1167
		+S1/D95/E1<I96/E1											731																						1168
			+M1/D96/E1<I97/E1+W97/E1<<E6										732						207	-57.83	-47.13	-93.94													1169
			^<I98/E1										733	93.1	-32.41	-100.44																			1170
				+D98/E1									734	93.52	-31.68	-101.2																			1171
				^<I99/E1+D99/E1					32.48	-32.7	-104.19																								1172
			^<E2										735																						1173
				+F48									736																						1174
			^<F47										737																						1175
		^<E2											738																						1176
			+D96/E1<I97/E1+D97/E1										739						208	-54.7	-46.83	-91.18													1177
			^<I98/E1+D98/E1										740	93.33	-32.23	-92.25																			1178
			^<I99/E1						33.36	-30.54	-94.39																								1179
				+S1/D99/E1					34.06	-29.99	-93.54																								1180
			^<F43																																1181
	^<E30											21.6	741	89.7	-28.04	-99.39	192		209	-58.6	-42.57	-96.17													1182
		+S1/I96/E1+D96/E1<I97/E1+D97/E1											742						210	-63.2	-44.29	-96.29													1183
		^<I98/E1											743	83.4	-29.58	-98.98																			1184
			+D98/E1										744	83.68	-28.83	-98.01																			1185
			^<I99/E1																																1186
				+S1/D99/E1					22.72	-25.25	-106.14																								1187
			^<E2																																1188
				+S1/D99/E1					21.03	-23.41	-109.63																								1189
		^<E2											745																						1190
			+M1/W98/E1<<E7										746	82.59	-28.97	-99.71																			1191
			^<I99/E1																																1192
				+S1/D99/E1					19.97	-28.73	-100.44																								1193
			^<E2																																1194
				+S1/D99/E1					22.68	-32.28	-98.54																								1195
		^<E3											747																						1196
			+F50										748																						1197
		^<F51											749																						1198
	^<E31												750																						1199
		+S1/I96/E1+D96/E1<I97/E1+D97/E1											751						211	-60.42	-43.18	-90.88													1200
		^<I98/E1+D98/E1											752	88.2	-27.68	-94.07																			1201
		^<I99/E1+D99/E1							27.76	-27.05	-97.04																								1202
	^<E32												753																						1203
		+M1/I96/E1						60					754																						1204
			+S1/D96/E1<I97/E1+D97/E1										755						212	-58.69	-47.73	-92.16													1205
			^<I98/E1										756	89.99	-33.28	-96.78																			1206
				+D98/E1									757	90.34	-31.57	-97.12																			1207
				^<I99/E1+D99/E1					30.17	-31.36	-98.86																								1208
			^<F49										758																						1209
		^<E2											759																						1210
			+W96/E1<I97/E1										760																						1211
				+S1/D97/E1								6.9	761	86.17	-33.56	-99.53			213	-61.1	-50.19	-93.96													1212
				^<I98/E1+D98/E1									762	85.7	-35.72	-98.7																			1213
				^<I99/E1																															1214
					+S1/D99/E1				25.2	-33.46	-108.08																								1215
				^<E2																															1216
					+S1/D99/E1				24.85	-33.47	-108.43																								1217
			^<E2										763																						1218
				+W97/E1<<E6									764						214	-62.15	-49.59	-97.7													1219
				^<I98/E1									765	84.8	-28.7	-107.04																			1220
					+S1/D98/E1								766	84.91	-32.49	-105.29																			1221
					^<I99/E1				19.97	-32.79	-106.87																								1222
						+S1/D99/E1			19.1	-32.71	-106.94																								1223
					^<F44																														1224
				^<E2																															1225
					+W98/E1<<E8			58				3.3	767	81.15	-33.49	-107.41																			1226
					^<E9<E10							4.2	768	72.93	-31.43	-94.59																			1227
					^<E11<<E17								769	63.52	-31.93	-100.77																			1228
	^<E33												770																						1229
		+M1/I96/E1+W96/E1<I97/E1							21.91	-28.21	-96.64		771						215	-67.38	-46.12	-90.04													1230
			+M1/W97/E1<<E7						21.11	-28.86	-96.86		772																						1231
			^<W98/E5					63	20.07	-30.12	-96.24																								1232
			^<E6						19.34	-30.66	-96.15																								1233
				+S1/D99/E1																															1234
			^<E7<E8						16.41	-31.75	-97.02																								1235
				+S1/I99/E1+D99/E1																															1236
			^<E9						14.83	-32.62	-94.12																								1237
				+S1/I99/E1+D99/E1																															1238
			^<E10						13.28	-33.4	-96.66																								1239
				+S1/I99/E1+D99/E1																															1240
			^<E11						10.14	-33.16	-94.89																								1241
				+S1/I99/E1+D99/E1																															1242
			^<E12						8.59	-35.22	-94.76																								1243
				+S1/I99/E1+D99/E1																															1244
			^<E13						5.87	-35.03	-96.76																								1245
				+S1/I99/E1+D99/E1																															1246
			^<E14						4.46	-34.9	-95.72																								1247
				+S1/I99/E1+D99/E1																															1248
			^<E15					51	4.34	-34.94	-96.96																								1249
				+S1/I99/E1+D99/E1					4.01	-36.25	-95.81																								1250
			^<E16<E17																																1251
				+I99/E1+M1/W99/E1<<E5					1.78	-37.4	-98.26																								1252
		^<F10											773										10	15.1	8.2	13.6	91.8	78.1	70	7	350.47	0.8675	819	3.1799	1253
	^<E34												774																						1254
		+M1/I96/E1+W96/E1<I97/E1+D97/E1											775						216	-58.4	-46.88	-87.84													1255
		^<D98/E1											776	92.26	-34.3	-91.46																			1256
		^<I99/E1+D99/E1							30.8	-31.52	-93.48																								1257
	^<E35							225	26.76	-31.1	-99.12	20.2	777	87.24	-32.03	-95.29	190		217	-61.1	-47.34	-91.18													1258
		+R1/I96/E1+U96/E1<<E5						140	25.55	-34.37	-100.15	13.2	778	84.1	-35.47	-96.2	118		218	-62.9	-50.69	-91.83													1259
		^<E6<<E10										11.7	779	76.98	-39.76	-96.41	115		219	-70	-54.15	-94.31													1260
		^<E11<<E15						123	10.38	-42.27	-96.86	11	780	69.19	-41.74	-89.71	95		220	-78.77	-56.85	-88.68													1261
		^<E16<E17											781																						1262
			+S1/I97/E1										782																						1263
				+M1/W97/E1<<E5				65	9.34	-44.95	-93.64		783				50		221	-80.65	-61	-86.71													1264
				^<E6<<E10									784																						1265
				^<E11									785						222	-78.86	-64.4	-90.5													1266
				^<I98/E1									786	72.85	-51.75	-83.99																			1267
					+W98/E1<<E5			62	13.46	-54.29	-95.11	3.9	787	71.39	-54.92	-81.34																			1268
						+S1/D99/E1			12.62	-53.62	-96.09																								1269
					^<E6<E7																														1270
						+S1/I99/E1+D99/E1			15.65	-56.32	-97.34																								1271
					^<E8																														1272
						+S1/I99/E1+D99/E1			12.74	-59.27	-95.18																								1273
					^<E9																														1274
						+S1/I99/E1+D99/E1			15.68	-60.23	-96.04																								1275
					^<E10																														1276
						+S1/I99/E1+D99/E1			14.21	-61.57	-97.98																								1277
					^<E11																														1278
						+S1/I99/E1			14.51	-62.74	-96.29																								1279
					^<E12<E13								788	71.54	-62.75	-80.11																			1280
					^<I99/E1+M1/W99/E1<<E5			32	15.8	-66.1	-98.51																								1281
					^<E6<<E9				14.25	-68.57	-102.95																								1282
				^<F56									789																						1283
			^<E2										790																						1284
				+D97/E1									791						223	-81.42	-59.54	-83.1													1285
				^<I98/E1									792	67.14	-43.9	-83.21																			1286
					+D98/E1								793	66.28	-43.82	-83.56																			1287
					^<I99/E1+D99/E1				5.61	-47.26	-90.43																								1288
				^<F57									794																						1289
		^<E18											795																						1290
			+S1/I97/E1+D97/E1										796						224	-84.25	-57.18	-81.21													1291
			^<I98/E1+D98/E1										797	63.28	-43.43	-80.66																			1292
			^<I99/E1						1.91	-45.34	-87.92																								1293
